연번,학년도,학기,학수번호,교과목번호,교과목명,캠퍼스,대학,학부(과)/전공,학번,성별,성명,학년,이수구분,학점,성적,생년월일,등록학기수,학생구분,학적상태
,2023,1학기,RAAA55654,4320,문화테크놀로지연구,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,B+,990212,8,일반,재학생
,2023,1학기,RAAA62743,4318,디지털스토리텔링,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,B+,990212,8,일반,재학생
,2023,1학기,RAAA65188,4371,실감디자인씽킹,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A+,990212,8,일반,재학생
,2023,1학기,RAAA65189,4348,실감디지털드로잉,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A+,990212,8,일반,재학생
,2023,1학기,RABA64844,4368,XR비즈니스입문,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A,990212,8,일반,재학생
,2023,1학기,RABA65191,4322,실감미디어컴퓨팅기초,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A,990212,8,일반,재학생
,2023,2학기,RAAA61267,4277,ICT콘텐츠기획,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A,990212,8,일반,재학생
,2023,2학기,RAAA61268,4278,ICT경험디자인,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A+,990212,8,일반,재학생
,2023,2학기,RAAA64859,4295,메타버스크리에이터세미나,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,2,P,990212,8,일반,재학생
,2023,2학기,RAAA64873,4299,효과적인사회문제정의와아이디어,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A,990212,8,일반,재학생
,2023,2학기,RAAA65211,4298,실감미디어의이해,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A+,990212,8,일반,재학생
,2023,하계 계절학기,RAAA65187,8100,메타버스3D디자인,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A,990212,8,일반,재학생
,2024,1학기,RAAA58062,4547,디지털스토리텔링실습,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,A,990212,8,일반,재학생
,2024,1학기,RAAA64906,4642,AR/VR콘텐츠실무,서울,경영대학,기술경영학과,201812154,M,성명규,4,융선,3,C,990212,8,일반,재학생
