학년도,학기,학수번호,교과목번호,교과목명,캠퍼스,대학,학부(과)/전공,학번,성별,성명,학년,이수구분,학점,성적,생년월일,등록학기수
2022,1학기,CS1011,0101,디지털스토리텔링의이해,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,실감디자인씽킹,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,문화테크놀로지연구,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,디지털스토리텔링,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,ICT 경험디자인,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,실감미디어의이해,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,축제이벤트산업론,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,ICT콘텐츠기획,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,디지털스토리텔링실습,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,XR비즈니스입문,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,로컬콘텐츠실감미디어PBL,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,실감콘텐츠경험분석,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,실감콘텐츠이용자효과평가분석기초실습,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,XR마케팅,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,VR/AR프로그래밍,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
2022,1학기,CS1011,0101,실감형게임프로젝트,서울,건국대,K뷰티산업융합학과,201911420,M,이동진,졸업,전공,3,A+,97.04.29,8
